Name N E Z
p1 6165285.063 444523.827 139.247
p2 6165289.283 444521.185 139.147
p3 6165294.464 444518.303 139.247
p4 6165299.712 444515.396 139.347
p5 6165304.970 444512.043 139.547
p6 6165310.001 444509.239 139.446
p7 6165314.851 444506.392 139.346
p8 6165320.668 444503.676 139.346
p9 6165325.763 444500.827 139.046
p10 6165330.914 444497.995 138.846
p11 6165336.315 444494.962 138.646
p12 6165341.407 444492.104 138.546
p13 6165346.822 444488.877 138.646
p14 6165350.386 444494.380 138.146
p15 6165345.562 444497.210 138.046
p16 6165340.181 444500.037 137.946
p17 6165335.097 444503.239 138.046
p18 6165329.265 444506.250 138.546
p19 6165323.960 444509.569 138.546
p20 6165318.542 444512.971 138.746
p21 6165313.446 444515.596 138.846
p22 6165308.433 444518.431 139.047
p23 6165303.129 444521.329 139.147
p24 6165298.043 444524.113 139.247
p25 6165292.586 444527.116 139.147
p26 6165295.911 444532.988 138.947
p27 6165301.257 444530.228 138.947
p28 6165306.487 444527.275 138.947
p29 6165311.633 444524.485 138.847
p30 6165316.980 444521.450 138.646
p31 6165322.412 444518.603 138.446
p32 6165327.333 444515.751 138.346
p33 6165332.483 444512.969 138.146
p34 6165337.246 444509.639 137.846
p35 6165342.954 444507.033 137.846
p36 6165347.463 444504.754 137.846
p37 6165351.126 444502.441 137.946
p38 6165354.090 444500.501 137.846
p39 6165357.529 444509.161 137.946
p40 6165352.307 444511.162 137.946
p41 6165347.168 444513.956 138.046
p42 6165341.664 444516.830 138.046
p43 6165336.022 444519.213 138.246
p44 6165330.661 444522.756 138.146
p45 6165325.573 444525.160 138.246
p46 6165320.409 444528.020 138.246
p47 6165314.845 444529.663 138.547
p48 6165309.729 444533.033 138.747
p49 6165305.001 444536.169 138.647
p50 6165299.923 444538.525 138.747
p51 6165303.686 444545.363 138.347
p52 6165308.329 444542.682 138.147
p53 6165313.482 444539.661 138.347
p54 6165318.242 444536.587 138.347
p55 6165323.804 444533.846 138.446
p56 6165328.802 444530.748 138.346
p57 6165334.381 444528.316 138.346
p58 6165339.769 444525.250 138.146
p59 6165344.495 444522.486 138.046
p60 6165349.657 444519.602 138.046
p61 6165354.703 444516.855 137.946
p62 6165359.958 444513.988 137.946
p63 6165365.808 444518.277 138.146
p64 6165362.334 444520.059 138.146
p65 6165358.140 444522.430 138.146
p66 6165353.511 444525.071 138.146
p67 6165348.184 444527.879 138.146
p68 6165342.914 444530.983 138.346
p69 6165337.752 444533.855 138.446
p70 6165332.488 444536.816 138.546
p71 6165327.308 444539.832 138.546
p72 6165321.957 444542.794 138.547
p73 6165316.448 444545.808 138.347
p74 6165311.447 444548.825 138.447
p75 6165306.686 444551.113 138.447
p76 6165309.235 444557.873 138.447
p77 6165314.779 444555.005 138.447
p78 6165319.899 444552.290 138.547
p79 6165325.547 444549.191 138.547
p80 6165330.558 444546.212 138.646
p81 6165335.667 444543.394 138.546
p82 6165341.165 444540.403 138.646
p83 6165346.153 444537.489 138.446
p84 6165351.331 444534.840 138.346
p85 6165356.591 444531.495 138.346
p86 6165361.285 444529.031 138.346
p87 6165364.794 444527.124 138.346
p88 6165368.257 444525.052 138.346
p89 6165371.349 444530.924 138.646
p90 6165368.128 444532.894 138.746
p91 6165364.617 444534.927 138.746
p92 6165359.431 444537.666 138.646
p93 6165354.388 444540.768 138.546
p94 6165349.015 444543.604 138.646
p95 6165343.631 444547.023 138.546
p96 6165338.524 444549.697 138.646
p97 6165333.189 444552.670 138.646
p98 6165327.759 444555.623 138.647
p99 6165322.571 444558.492 138.647
p100 6165317.349 444561.392 138.647
p101 6165312.075 444564.195 138.847
p102 6165309.576 444573.744 139.047
p103 6165315.112 444570.811 138.947
p104 6165320.377 444568.026 138.747
p105 6165325.403 444564.898 138.747
p106 6165330.710 444561.999 138.747
p107 6165335.890 444559.192 138.746
p108 6165341.216 444556.239 138.646
p109 6165346.312 444553.285 138.646
p110 6165351.324 444550.084 138.746
p111 6165356.807 444547.316 138.846
p112 6165361.956 444544.272 138.746
p113 6165367.494 444541.387 138.946
p114 6165372.737 444538.513 139.046
p115 6165375.508 444536.941 139.046
p116 6165378.059 444543.573 139.046
p117 6165373.334 444546.154 139.146
p118 6165368.438 444548.833 139.046
p119 6165363.728 444551.466 138.946
p120 6165359.617 444553.739 138.746
p121 6165354.385 444556.521 138.846
p122 6165349.099 444559.496 138.746
p123 6165343.754 444562.462 138.546
p124 6165338.466 444565.333 138.546
p125 6165333.374 444568.245 138.647
p126 6165328.021 444571.205 138.847
p127 6165322.859 444574.062 138.947
p128 6165317.594 444577.178 138.947
p129 6165312.119 444580.174 139.247
p130 6165315.098 444586.574 139.247
p131 6165320.320 444583.799 138.947
p132 6165325.741 444580.713 138.747
p133 6165331.111 444577.822 138.747
p134 6165336.383 444575.034 138.647
p135 6165341.608 444572.232 138.546
p136 6165346.874 444569.290 138.446
p137 6165351.892 444566.392 138.546
p138 6165357.285 444563.485 138.546
p139 6165362.420 444560.399 138.746
p140 6165366.877 444557.814 138.746
p141 6165371.111 444555.258 138.846
p142 6165375.758 444552.855 138.946
p143 6165380.015 444550.598 138.846
p144 6165383.198 444548.638 138.946
p145 6165386.264 444555.018 138.746
p146 6165381.730 444557.549 138.446
p147 6165377.228 444560.202 138.546
p148 6165371.875 444563.187 138.646
p149 6165366.090 444566.305 138.746
p150 6165360.447 444569.347 138.446
p151 6165354.747 444572.451 138.646
p152 6165349.458 444575.416 138.646
p153 6165344.067 444578.453 138.846
p154 6165338.876 444581.307 138.747
p155 6165333.516 444583.979 138.847
p156 6165328.402 444587.110 138.947
p157 6165322.971 444589.884 139.047
p158 6165317.910 444592.971 139.147
p159 6165320.744 444599.774 139.247
p160 6165325.903 444596.871 139.147
p161 6165331.052 444593.850 138.947
p162 6165336.580 444590.871 138.747
p163 6165341.910 444588.072 138.547
p164 6165347.104 444585.105 138.546
p165 6165352.397 444582.195 138.446
p166 6165357.563 444579.334 138.446
p167 6165362.931 444576.278 138.346
p168 6165367.890 444573.351 138.546
p169 6165373.066 444570.286 138.446
p170 6165378.942 444567.298 138.346
p171 6165382.479 444565.131 138.346
p172 6165389.063 444561.485 138.646
p173 6165392.270 444567.603 138.946
p174 6165386.117 444571.036 138.446
p175 6165379.787 444574.716 138.346
p176 6165374.360 444577.933 138.246
p177 6165368.116 444581.283 138.346
p178 6165362.065 444584.587 138.246
p179 6165355.909 444587.992 138.446
p180 6165349.517 444591.575 138.646
p181 6165343.430 444595.101 138.547
p182 6165337.318 444598.498 138.647
p183 6165331.198 444601.665 138.747
p184 6165325.039 444605.321 138.947
p185 6165326.780 444612.347 139.047
p186 6165332.669 444608.909 138.747
p187 6165339.064 444605.719 138.547
p188 6165345.040 444602.135 138.447
p189 6165351.170 444598.803 138.646
