B L 84H Name
55°36'28.12452" 86°07'09.41532" 105.800 p1
55°36'28.25988" 86°07'09.26136" 105.700 p2
55°36'28.42620" 86°07'09.09300" 105.800 p3
55°36'28.59468" 86°07'08.92320" 105.900 p4
55°36'28.76328" 86°07'08.72784" 106.100 p5
55°36'28.92480" 86°07'08.56404" 106.000 p6
55°36'29.08044" 86°07'08.39796" 105.900 p7
55°36'29.26740" 86°07'08.23860" 105.900 p8
55°36'29.43096" 86°07'08.07216" 105.600 p9
55°36'29.59632" 86°07'07.90668" 105.400 p10
55°36'29.76972" 86°07'07.72956" 105.200 p11
55°36'29.93316" 86°07'07.56264" 105.100 p12
55°36'30.10692" 86°07'07.37436" 105.200 p13
55°36'30.22440" 86°07'07.68612" 104.700 p14
55°36'30.06960" 86°07'07.85124" 104.600 p15
55°36'29.89680" 86°07'08.01660" 104.500 p16
55°36'29.73372" 86°07'08.20320" 104.600 p17
55°36'29.54640" 86°07'08.37936" 105.100 p18
55°36'29.37624" 86°07'08.57280" 105.100 p19
55°36'29.20248" 86°07'08.77104" 105.300 p20
55°36'29.03880" 86°07'08.92464" 105.400 p21
55°36'28.87788" 86°07'09.09024" 105.600 p22
55°36'28.70760" 86°07'09.25956" 105.700 p23
55°36'28.54428" 86°07'09.42228" 105.800 p24
55°36'28.36908" 86°07'09.59772" 105.700 p25
55°36'28.47900" 86°07'09.93072" 105.500 p26
55°36'28.65072" 86°07'09.76920" 105.500 p27
55°36'28.81860" 86°07'09.59676" 105.500 p28
55°36'28.98384" 86°07'09.43368" 105.400 p29
55°36'29.15544" 86°07'09.25644" 105.200 p30
55°36'29.32992" 86°07'09.08988" 105.000 p31
55°36'29.48784" 86°07'08.92344" 104.900 p32
55°36'29.65320" 86°07'08.76084" 104.700 p33
55°36'29.80584" 86°07'08.56716" 104.400 p34
55°36'29.98932" 86°07'08.41416" 104.400 p35
55°36'30.13416" 86°07'08.28072" 104.400 p36
55°36'30.25164" 86°07'08.14596" 104.500 p37
55°36'30.34668" 86°07'08.03304" 104.400 p38
55°36'30.46140" 86°07'08.52516" 104.500 p39
55°36'30.29340" 86°07'08.64324" 104.500 p40
55°36'30.12840" 86°07'08.80656" 104.600 p41
55°36'29.95164" 86°07'08.97468" 104.600 p42
55°36'29.77020" 86°07'09.11490" 104.800 p43
55°36'29.59830" 86°07'09.32115" 104.700 p44
55°36'29.43480" 86°07'09.46212" 104.800 p45
55°36'29.26900" 86°07'09.62920" 104.800 p46
55°36'29.08980" 86°07'09.72708" 105.100 p47
55°36'28.92576" 86°07'09.92328" 105.300 p48
55°36'28.77420" 86°07'10.10580" 105.200 p49
55°36'28.61100" 86°07'10.24404" 105.300 p50
55°36'28.73544" 86°07'10.63188" 104.900 p51
55°36'28.88448" 86°07'10.47540" 104.700 p52
55°36'29.04984" 86°07'10.29912" 104.900 p53
55°36'29.20248" 86°07'10.12008" 104.900 p54
55°36'29.38116" 86°07'09.95952" 105.000 p55
55°36'29.54148" 86°07'09.77892" 104.900 p56
55°36'29.72088" 86°07'09.63600" 104.900 p57
55°36'29.89380" 86°07'09.45696" 104.700 p58
55°36'30.04548" 86°07'09.29568" 104.600 p59
55°36'30.21120" 86°07'09.12720" 104.600 p60
55°36'30.37320" 86°07'08.96664" 104.500 p61
55°36'30.54192" 86°07'08.79912" 104.500 p62
55°36'30.73284" 86°07'09.03984" 104.700 p63
55°36'30.62124" 86°07'09.14412" 104.700 p64
55°36'30.48660" 86°07'09.28260" 104.700 p65
55°36'30.33804" 86°07'09.43680" 104.700 p66
55°36'30.16695" 86°07'09.60105" 104.700 p67
55°36'29.99784" 86°07'09.78216" 104.900 p68
55°36'29.83212" 86°07'09.94992" 105.000 p69
55°36'29.66316" 86°07'10.12284" 105.100 p70
